,id,title,diseno,ncValue,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16
162,107107.0,Culvert Los Velázquez - Camino Municipal Buena Vista PR784 Km 4.2,Completado,,,18.215121,-66.088982,MCAG012 Road Los Velazquez Buena Vista,PA-02-PR-4339-PW-03639,113299,101969,101969,11330,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,28/02/2020,Proyecto 406
164,107107.0,Sports Complex AOB - Sports Village - Housing,Diseño,5,,18.23799,-66.05425,MCAG147 - AOB Sports Complex - Sports Village - Housing,PA-02-PR-4339-PW-04663,766204,689584,0,76620,Caguas,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,27/05/2020,Proyecto 406
166,107107.0,Estacion Ceramica - Policia Municipal(La Ceramica Municipal Police Station),Construcción,N/A,,18.421784,-65.986615,MCAR120 La Ceramica Police Station,PA-02-PR-4339-PW-04685,47283,42555,42555,4728,Carolina,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,14/05/2020,Proyecto 428
168,107107.0,Facildiades Recreativas Metropolis I(Metropolis I Recreational Facilities),Construcción,25,,18.36928,-65.98655,MCAR123 Metropolis I Recreational Facilities,PA-02-PR-4339-PW-04812,377987,340188,0,37799,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,18/06/2020,Proyecto 406
170,107107.0,Maribel Santiago Basketball Court and Baseball Park Minillas Neighborhood,Construcción,N/A,,18.340054,-66.160555,MBAY051 Small Projects SP 06,PA-02-PR-4339-PW-03938,33737,30363,30363,3374,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,20/04/2020,Proyecto 428
172,107107.0,Santa Juanita Community Center,Construcción,N/A,"Jordania St. , Bayamon , Puerto Rico, 00956",18.353388,-66.151344,MBAY051 Small Projects SP 06,PA-02-PR-4339-PW-03938,33737,30363,30363,3374,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,20/04/2020,Proyecto 428
174,107107.0,Cancha Centro de Tenis Honda (Honda Tennis Center),Construcción,90,"various locations (see table for details), Trujillo Alto, Puerto Rico",18.383323,-66.153991,MBAY100 Honda Tennis Center,PA-02-PR-4339-PW-04412,873602,786242,50501,87360,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,17/11/2020,Proyecto 428
176,107107.0,Cementerio Municipal #3 - Campo Santo - Workshop,Adquisición de diseño,,,18.23867,-66.05725,MCAG097 - Cementerio Municipal - Campo Santo #3,PA-02-PR-4339-PW-04702,390818,351736,0,39082,Caguas,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,17/08/2020,Proyecto 406
178,107107.0,Villa Carolina Bo. Hoyo Mulas Sec. IV (Basketball Court),Construcción,10,,18.408764,-65.959961,MCAR209 Villa Carolina Bo. Hoyo Mulas Sec. IV (Basketball Cover Court),PA-02-PR-4339-PW-04826,460460,414414,0,46046,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,18/06/2020,Proyecto 406
180,107107.0,Mansiones de Mountain View Concessionary,Diseño,100,,18.369446,-65.943444,MCAR216 Mountain View Recreational Facilities,PA-02-PR-4339-PW-05513,196944,177250,0,19694,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,24/06/2020,Proyecto 406
182,107107.0,Quintas del Rio House Complex - Recreational Area,Construcción,N/A,,18.417326,-66.15773,MBAY086 Small Projects SP 36,PA-02-PR-4339-PW-04549,30730,27657,27657,3073,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,21/04/2020,Proyecto 428
184,107107.0,Indoor and Outdoor Basketball Court Silvia Cedeño - Van Scoy,Construcción,95,,18.344658,-66.196842,MBAY057 Small Projects SP 11,PA-02-PR-4339-PW-04729,149588,134629,0,14959,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,04/08/2020,Proyecto 428
186,107107.0,Miraflores Baseball and Pasive Park,Construcción,N/A,,18.37206,-66.198598,MBAY047 Small Projects  SP 02,PA-02-PR-4339-PW-04866,86854,78169,78169,8685,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,07/05/2020,Proyecto 428
188,107107.0,Cementerio Municipal #3 - Campo Santo - Storage Shed,Adquisición de diseño,,,18.23867,-66.05725,MCAG097 - Cementerio Municipal - Campo Santo #3,PA-02-PR-4339-PW-04702,390818,351736,0,39082,Caguas,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,17/08/2020,Proyecto 406
190,107107.0,Estacion Maritima - Policia Municipal(Maritima Municipal Police Station),Construcción,N/A,,,,MCAR115 Estacion Maritima - Policia Municipal(Maritima Municipal Police Station),PA-02-PR-4339-PW-04882,15407,13866,13866,1541,Carolina,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,02/10/2020,Proyecto 428
192,107107.0,f.  Dos Canchas de Tenis (Two Tennis Courts),Completado,,,18.374828,-65.955757,"Administrative Office of Roberto Clemente Complex, Recreational Facility Building(Carolina)",PA-02-PR-4339-PW-05148,10516898,9465208,988618,1051690,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,25/09/2020,Proyecto 428
194,107107.0,Camino  Sector Los Tapia Carretera 858 Km 1.5 Bo. Cacao,Diseño,100,,18.358743,-65.96064,MCAR034 Cacao Roads & Culverts,PA-02-PR-4339-PW-07769,636193,572574,143143,63619,Carolina,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,09/02/2021,Proyecto 406
196,107107.0,Sect Juana Rodriguez Road  PR 858 Km 3.0,Diseño,100,,18.341909,-65.964199,MCAR034 Cacao Roads & Culverts,PA-02-PR-4339-PW-07769,636193,572574,143143,63619,Carolina,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,09/02/2021,Proyecto 406
198,107107.0,Ciudad de Ensueno,Construcción,N/A,"Jordania St. , Bayamon , Puerto Rico, 00956",18.297419,-66.164735,MBAY114 Small Projects SP 54,PA-02-PR-4339-PW-04951,43782,39404,39404,4378,Bayamón,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,05/06/2020,Proyecto 428
200,107107.0,Bayapark,Construcción,N/A,,18.398183,-66.156533,MBAY060 Small Projects SP 14,PA-02-PR-4339-PW-04998,68361,61525,61525,6836,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,06/08/2020,Proyecto 428
202,107107.0,PASEO RIO HONDO,Construcción,N/A,,18.397819,-66.157082,MBAY076 Small Projects SP 27,PA-02-PR-4339-PW-05033,49796,44816,44816,4980,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,23/11/2020,Proyecto 428
204,107107.0,Facildiades Recreativas Metropolis III(Metropolis III Recreational Facilities),Construcción,10,,18.363326,-65.985329,MCAR324 Metropolis III Recreational Facilities,PA-02-PR-4339-PW-05435,328424,295582,0,32842,Carolina,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,24/06/2020,Proyecto 406
206,107107.0,Mansiones Mountain View Bo.Trujillo BajoCancha Balonces (Cover Basketball Court),Diseño,100,,18.369377,-65.943746,MCAR216 Mountain View Recreational Facilities,PA-02-PR-4339-PW-05513,196944,177250,0,19694,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,24/06/2020,Proyecto 406
208,107107.0,Casa Amarilla Dra. Concha Melendez - Museum and Cultural Center,Adquisición de diseño,,,18.23562,-66.0362,MCAG095 - Casa Amarilla Dra. Concha Melendez - Museum and Cultural Center and Contents,PA-02-PR-4339-PW-04674,916862,825176,0,91686,Caguas,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,21/05/2020,Proyecto 406
210,107107.0,COMPLEJO DEPORTIVO AOB- PARQUE DE PELOTA-CAMPEONES,Diseño,10,,,,MCAG005-Parks Group-01,PA-02-PR-4339-PW-04844,598696,538826,0,59870,Caguas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,03/06/2020,Proyecto 406
212,107107.0,MCAG130 - BORINQUEN ATRAVESADA PR763,Adquisición de construcción,,"PR-763, Km 6.7, Boriquen Atravesada Sector, Patricio Medina, Caguas, Puerto Rico, 00725",18.14262,-66.06892,MCAG082 - Borinquen Atravesada roads #1,PA-02-PR-4339-PW-05420,1143506,1029155,26645,114351,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,10/01/2022,Proyecto 406
214,107107.0,Parque del Monte Cancha Handball,Construcción,10,,18.2425,-66.0562,MCAG099 - Parque Del Monte Sector and Julio E. Monagas Recreational Facilites,PA-02-PR-4339-PW-06058,395687,356118,0,39569,Caguas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,10/12/2020,Proyecto 406
216,107107.0,Mansiones Mountain View Bo.Trujillo Bajo Baseball Park,Diseño,100,,18.36942,-65.942918,MCAR216 Mountain View Recreational Facilities,PA-02-PR-4339-PW-05513,196944,177250,0,19694,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,24/06/2020,Proyecto 406
218,107107.0,Los Angeles Recreational Area(Cover Basketball Court & Baseball Park),Construcción,10,,18.428389,-66.011082,MCAR077 Los Angeles Recreational Facility,PA-02-PR-4339-PW-05799,366771,330094,0,36677,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,27/07/2020,Proyecto 406
220,107107.0,Complejo Deportivo AOB - Covered Court - Pabellón de Gimnasia Diego Lizardi,Adquisición de diseño,,"PR-156, Avenida Canaboncito St., Caguas, Puerto Rico, 00727",18.23892,-66.05387,AOB Sport Complex - Gymnasium(Caguas),PA-02-PR-4339-PW-05944,1517923,1366131,0,151792,Caguas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,24/08/2020,Proyecto 406
222,107107.0,Complejo Deportivo AOB - Salón Actividades & Cancha Balón Mano,Adquisición de diseño,,"PR-156, Avenida Canaboncito St., Caguas, Puerto Rico, 00727",18.23805,-66.05427,AOB Sport Complex - Gymnasium(Caguas),PA-02-PR-4339-PW-05944,1517923,1366131,0,151792,Caguas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,24/08/2020,Proyecto 406
224,107107.0,Naranjito - Recreational Facilities - Covered Basketball Court,Adquisición de diseño,,"Bo. Borenquin, Sector Naranjito Carr. 766 Km 1.6, Caguas, Puerto Rico, 00725",18.17361,-66.02865,"Recreational Facilities Mirador de Bairoa, Munoz Grillo, Myrlena & Naranjito Recreational( Caguas)",PA-02-PR-4339-PW-06155,1547796,1393016,0,154780,Caguas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,20/11/2020,Proyecto 406
226,107107.0,Mirador de Bairoa - Recreational Facilities - Basketball and Volleyball Court,Diseño,20,"Urb. Mirador de Bairoa 24th Street, Caguas, Puerto Rico, 00727",18.26202,-66.04437,"Recreational Facilities Mirador de Bairoa, Munoz Grillo, Myrlena & Naranjito Recreational( Caguas)",PA-02-PR-4339-PW-06155,1547796,1393016,0,154780,Caguas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,20/11/2020,Proyecto 406
228,107107.0,Los Flores Bridge Bo Cedros PR 853 Km 13.0,Completado,,,18.2926,-65.92553,Improved Project - MCAR008 Los Flores Bridge Bo Cedros PR,PA-02-PR-4339-PW-07216,175735,158162,0,17573,Carolina,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,21/01/2022,Proyecto 406
230,107107.0,Plaza de la Musica(Music Plaza),Completado,,,18.414931,-65.964322,MCAR158 Plaza de la Musica,PA-02-PR-4339-PW-07425,124586,112127,112127,12459,Carolina,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,07/12/2020,Proyecto 428
232,107107.0,Camino Cementerio 185 Km 11.3 Bo. Carruzos- Camino Muni(Cementerio Road PR 185 Km 11.3 Bo. Carruzos),Diseño,100,"PR 185 Bo Carruzos, Carolina, Puerto Rico",18.30422,-65.91044,Road-Asphalt Repair- Carruzo Roads & Culverts Large Embankment's(Carolina),PA-02-PR-4339-PW-07731,1415572,1274015,318504,141557,Carolina,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,26/02/2021,Proyecto 406
234,107107.0,Sect El LLano Road Bo Santa Cruz PR 859 Km 2.0,Diseño,100,,18.2657,-65.93456,MCAR029 Canovanillas Roads & Culverts,PA-02-PR-4339-PW-07803,217650,195885,0,21765,Carolina,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,09/02/2021,Proyecto 406
236,107107.0,MCAG641 Parque del Monte - Instalaciones Recreativas -,Adquisición de diseño,,,18.2425,-66.0564,MCAG099 - Parque Del Monte Sector and Julio E. Monagas Recreational Facilites,PA-02-PR-4339-PW-06058,395687,356118,0,39569,Caguas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,10/12/2020,Proyecto 406
238,107107.0,Mirador de Bairoa - Recreational Facilities - Playground (Parque Pasivo),Diseño,20,"Urb. Miradores de Bairoa, 24th Street, Caguas, Puerto Rico, 00727",18.26188,-66.04542,"Recreational Facilities Mirador de Bairoa, Munoz Grillo, Myrlena & Naranjito Recreational( Caguas)",PA-02-PR-4339-PW-06155,1547796,1393016,0,154780,Caguas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,20/11/2020,Proyecto 406
240,107107.0,Bayamón Health Center (BHC),Construcción,N/A,,18.397126,-66.154495,MBAY076 Small Projects SP 27,PA-02-PR-4339-PW-05033,49796,44816,44816,4980,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,23/11/2020,Proyecto 428
242,107107.0,Jose A Tono Rios Ortega Indoor Basketball Court,Construcción,N/A,,18.31609,-66.143473,MBAY075 Small Projects SP 26,PA-02-PR-4339-PW-05067,27906,25115,25115,2791,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,05/06/2020,Proyecto 428
244,107107.0,Baseball Park and Indoor Basketball Court Rexville - Cuesta Casiano,Construcción,N/A,"42nd Street Block 26, Sierra Bayamon, Bayamon, Puerto Rico",18.361669,-66.193229,MBAY073 Small Projects SP 24,PA-02-PR-4339-PW-05361,71212,64091,64091,7121,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,23/07/2020,Proyecto 428
246,107107.0,Recreational Area and Court Basketball San Souci 20 St,Construcción,N/A,"20 st residencial community  San Souci , bayamon , Puerto Rico, 00956",18.366587,-66.184832,MBAY113 Small Projects SP 53,PA-02-PR-4339-PW-05561,41623,37461,37461,4162,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,29/09/2020,Proyecto 428
248,107107.0,Julia De Burgos Red Cibernetica I(Cyber Network),Construcción,10,,18.410557,-65.965514,MCAR162 Carolina Cibernetic Facilities,PA-02-PR-4339-PW-07877,1670574,1503517,375879,167057,Carolina,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,19/10/2021,Proyecto 428
250,107107.0,Jardines de Country Club C/116 FinalEstación V Policía (Police Station),Construcción,55,,18.423752,-65.975565,Jardines de Country Club B Police Station & Community Center(Carolina),PA-02-PR-4339-PW-08331,2518463,2266617,0,251846,Carolina,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,02/04/2021,Proyecto 428
252,107107.0,Legislatura Municipal(Municipal Council),Construcción,N/A,"calle Fernandez Juncos, Carolina, Puerto Rico, 00986",18.381001,-65.955564,MCAR142 Municipal Council & City Hall Annex Buildings,PA-02-PR-4339-PW-08907,74907,67416,67416,7491,Carolina,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,01/07/2021,Proyecto 428
254,107107.0,Mirador de Bairoa - Recreational Facilities - Tennis Court,Diseño,20,"Urb. Mirador de Bairoa, 24th Street, Caguas, Puerto Rico, 00727",18.26174,-66.04429,"Recreational Facilities Mirador de Bairoa, Munoz Grillo, Myrlena & Naranjito Recreational( Caguas)",PA-02-PR-4339-PW-06155,1547796,1393016,0,154780,Caguas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,20/11/2020,Proyecto 406
256,107107.0,MCAG053 - Bo. Tomás de Castro I PR-788 KM 3.9 Interior Camino Simoncito St. Site #3 - Culvert,Diseño,10,"Bo. Tomás de Castro I, PR-788 KM 3.9 Int. Camino Simoncito, Caguas, Puerto Rico, 00725",18.19208,-66.01798,MCAG133 - Tomás de Castro Roads,PA-02-PR-4339-PW-06713,279566,251609,62902,27957,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,10/02/2021,Proyecto 406
258,107107.0,Bo. Tomás de Castro I Sector Villa Cariño PR-788 KM Interior,Diseño,10,"Bo. Tomás de Castro I, Sector Villa Cariño, PR-788 KM Int., Caguas, Puerto Rico, 00725",18.19041,-66.02727,MCAG133 - Tomás de Castro Roads,PA-02-PR-4339-PW-06713,279566,251609,62902,27957,Caguas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,10/02/2021,Proyecto 406
260,107107.0,Caguas Norte - Community Center,Diseño,80,,18.242908,-66.025914,MCAG081 - Borinquen & Caguas Norte Recreational Facilities,PA-02-PR-4339-PW-06935,714632,643169,0,71463,Caguas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,07/06/2021,Proyecto 406
262,107107.0,MCAR011 Edificio Anexo Alcaldia (City Hall Annex Building),Construcción,N/A,"calle Fernandez Juncos, Carolina, Puerto Rico, 00986",18.39809,-65.95066,MCAR142 Municipal Council & City Hall Annex Buildings,PA-02-PR-4339-PW-08907,74907,67416,67416,7491,Carolina,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,01/07/2021,Proyecto 428
264,107107.0,Escuela Jose. E. Aponte de la Torre (Pa los Duros) Main Buiding,Diseño,100,,18.376081,-65.981173,José E. Aponte de la Torre School (Carolina),PA-02-PR-4339-PW-08973,4228224,3805402,951351,422822,Carolina,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,30/07/2021,Proyecto 428
266,107107.0,Escuela Jose. E. Aponte de la Torre (Pa los Duros) Building B,Diseño,100,"Intersection Calle Serate Rivera and PR-860, Carolina, Puerto Rico, 00987",18.3768,-65.98096,José E. Aponte de la Torre School (Carolina),PA-02-PR-4339-PW-08973,4228224,3805402,951351,422822,Carolina,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Grande,30/07/2021,Proyecto 428
268,107107.0,Sect Arrayanes Road Bo Cacao PR 858 Km 5.8,Diseño,100,,18.326928,-65.962262,MCAR034 Cacao Roads & Culverts,PA-02-PR-4339-PW-07769,636193,572574,143143,63619,Carolina,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Grande,09/02/2021,Proyecto 406
